epoch,accuracy,auc,loss,lr,prc,precision,recall,val_accuracy,val_auc,val_loss,val_prc,val_precision,val_recall
0,0.34452205896377563,0.6079789996147156,0.10764269530773163,1e-04,0.32962262630462646,0.34452205896377563,0.34452205896377563,0.48750001192092896,0.7672351598739624,0.07613162696361542,0.5211719274520874,0.48750001192092896,0.48750001192092896
1,0.4408455789089203,0.7251809239387512,0.08593130856752396,1e-04,0.4549381136894226,0.4408455789089203,0.4408455789089203,0.5877083539962769,0.8495801687240601,0.06611388176679611,0.6497923731803894,0.5877083539962769,0.5877083539962769
2,0.49125000834465027,0.7796102166175842,0.07642606645822525,1e-04,0.5195342302322388,0.49125000834465027,0.49125000834465027,0.6229166388511658,0.8731969594955444,0.06178053468465805,0.6908116936683655,0.6229166388511658,0.6229166388511658
3,0.5232720375061035,0.8062855005264282,0.0712665393948555,1e-04,0.5586004257202148,0.5232720375061035,0.5232720375061035,0.653333306312561,0.8846340179443359,0.0592033751308918,0.7146320939064026,0.653333306312561,0.653333306312561
4,0.5383087992668152,0.8232254385948181,0.06744392216205597,1e-04,0.5812996029853821,0.5383087992668152,0.5383087992668152,0.6666666865348816,0.8912755250930786,0.05718938261270523,0.7292325496673584,0.6666666865348816,0.6666666865348816
5,0.5612867474555969,0.8383922576904297,0.06410089135169983,1e-04,0.6105709075927734,0.5612867474555969,0.5612867474555969,0.6837499737739563,0.8969125151634216,0.05528992414474487,0.7414989471435547,0.6837499737739563,0.6837499737739563
6,0.5777941346168518,0.8479601144790649,0.06144554913043976,1e-04,0.6271026730537415,0.5777941346168518,0.5777941346168518,0.6897916793823242,0.9010655283927917,0.05353352054953575,0.751802921295166,0.6897916793823242,0.6897916793823242
7,0.5860294103622437,0.8532916307449341,0.05945557355880737,1e-04,0.6380958557128906,0.5860294103622437,0.5860294103622437,0.6970833539962769,0.9051762819290161,0.05179068446159363,0.7617641687393188,0.6970833539962769,0.6970833539962769
8,0.5936397314071655,0.8594781756401062,0.057147059589624405,1e-04,0.6504075527191162,0.5936397314071655,0.5936397314071655,0.7022916674613953,0.9075294733047485,0.050186071544885635,0.7660419940948486,0.7022916674613953,0.7022916674613953
9,0.604411780834198,0.8634426593780518,0.05516400560736656,1e-04,0.6565906405448914,0.604411780834198,0.604411780834198,0.7104166746139526,0.9119059443473816,0.04825940355658531,0.7781407833099365,0.7104166746139526,0.7104166746139526
10,0.6156250238418579,0.8700501918792725,0.052917804569005966,1e-04,0.6696097254753113,0.6156250238418579,0.6156250238418579,0.7170833349227905,0.9152265787124634,0.04642098769545555,0.7870482802391052,0.7170833349227905,0.7170833349227905
11,0.6274264454841614,0.8760935068130493,0.050764333456754684,1e-04,0.6841793060302734,0.6274264454841614,0.6274264454841614,0.7227083444595337,0.9180715084075928,0.044675566256046295,0.7957341074943542,0.7227083444595337,0.7227083444595337
12,0.635257363319397,0.8799144625663757,0.048814453184604645,1e-04,0.6924610733985901,0.635257363319397,0.635257363319397,0.7335416674613953,0.9228483438491821,0.042758386582136154,0.8047757148742676,0.7335416674613953,0.7335416674613953
13,0.6422793865203857,0.8845329284667969,0.046791981905698776,1e-04,0.7034052014350891,0.6422793865203857,0.6422793865203857,0.7397916913032532,0.9264432191848755,0.04093322157859802,0.8117011785507202,0.7397916913032532,0.7397916913032532
14,0.6563970446586609,0.8908759355545044,0.0447399765253067,1e-04,0.7181137800216675,0.6563970446586609,0.6563970446586609,0.7443749904632568,0.9295783638954163,0.03922170773148537,0.8213582634925842,0.7443749904632568,0.7443749904632568
15,0.6685293912887573,0.8956592679023743,0.04278121888637543,1e-04,0.7281277775764465,0.6685293912887573,0.6685293912887573,0.7554166913032532,0.9338775873184204,0.0373857356607914,0.8318901658058167,0.7554166913032532,0.7554166913032532
